sample_id,stock_id,end_date,label,future_return_7,split,row_idx,prev_row_idx,prev_split,gap,overlap_days,overlap_ratio,transition
000338_2025-10-09,000338,2025-10-09,1,0.0041753655998484,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000408_2025-04-22,000408,2025-04-22,1,0.0417960985388863,val,952,818.0,train,134.0,0.0,0.0,train->val
000408_2025-10-09,000408,2025-10-09,0,-0.0957203533563196,test,1064,996.0,val,68.0,0.0,0.0,val->test
000425_2025-01-02,000425,2025-01-02,0,-0.0597402622150266,val,888,820.0,train,68.0,0.0,0.0,train->val
000425_2025-10-09,000425,2025-10-09,0,-0.0325417763768215,test,1071,1003.0,val,68.0,0.0,0.0,val->test
000538_2025-01-02,000538,2025-01-02,0,-0.0327304057034159,val,911,843.0,train,68.0,0.0,0.0,train->val
000538_2025-10-09,000538,2025-10-09,0,-0.0123822801947921,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000568_2025-01-02,000568,2025-01-02,0,-0.0393225937466696,val,911,843.0,train,68.0,0.0,0.0,train->val
000568_2025-10-09,000568,2025-10-09,1,0.0253349763787825,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000596_2025-01-02,000596,2025-01-02,0,-0.0035817057171913,val,911,843.0,train,68.0,0.0,0.0,train->val
000596_2025-10-09,000596,2025-10-09,1,0.0128287339213605,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000617_2025-01-02,000617,2025-01-02,0,-0.0330339534146184,val,911,843.0,train,68.0,0.0,0.0,train->val
000617_2025-10-09,000617,2025-10-09,0,-0.0456621023989519,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000625_2025-01-02,000625,2025-01-02,0,-0.0439475725264769,val,911,843.0,train,68.0,0.0,0.0,train->val
000625_2025-10-09,000625,2025-10-09,1,0.0048701277502258,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000630_2025-01-02,000630,2025-01-02,1,0.0314465314096874,val,901,833.0,train,68.0,0.0,0.0,train->val
000630_2025-10-09,000630,2025-10-09,0,-0.1067796618495794,test,1084,1016.0,val,68.0,0.0,0.0,val->test
000651_2025-01-02,000651,2025-01-02,0,-0.0310746654677358,val,911,843.0,train,68.0,0.0,0.0,train->val
000651_2025-10-09,000651,2025-10-09,1,0.0096582471519381,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000661_2025-01-02,000661,2025-01-02,0,-0.0461981695579916,val,911,843.0,train,68.0,0.0,0.0,train->val
000661_2025-10-09,000661,2025-10-09,0,-0.0629013537260292,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000708_2025-01-02,000708,2025-01-02,0,-0.0159857942513702,val,911,843.0,train,68.0,0.0,0.0,train->val
000708_2025-10-09,000708,2025-10-09,0,-0.0180513178711432,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000725_2025-01-02,000725,2025-01-02,0,-0.0188679622502343,val,911,843.0,train,68.0,0.0,0.0,train->val
000725_2025-10-09,000725,2025-10-09,0,-0.0654205132859034,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000768_2025-01-02,000768,2025-01-02,0,-0.0176891222807612,val,911,843.0,train,68.0,0.0,0.0,train->val
000768_2025-10-09,000768,2025-10-09,0,-0.0565686687831791,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000776_2025-01-02,000776,2025-01-02,0,-0.0148963750133663,val,911,843.0,train,68.0,0.0,0.0,train->val
000776_2025-10-09,000776,2025-10-09,0,-0.0202673579163382,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000786_2025-01-02,000786,2025-01-02,0,-0.0533995656144783,val,911,843.0,train,68.0,0.0,0.0,train->val
000786_2025-10-09,000786,2025-10-09,0,-0.0033402888748192,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000792_2025-01-02,000792,2025-01-02,0,-0.009846169432201,val,823,755.0,train,68.0,0.0,0.0,train->val
000792_2025-10-09,000792,2025-10-09,0,-0.0316822802852655,test,1006,938.0,val,68.0,0.0,0.0,val->test
000800_2025-01-02,000800,2025-01-02,0,-0.0264483771575505,val,911,843.0,train,68.0,0.0,0.0,train->val
000800_2025-10-09,000800,2025-10-09,0,-0.0141043737319336,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000807_2025-01-02,000807,2025-01-02,1,0.1420247808478315,val,911,843.0,train,68.0,0.0,0.0,train->val
000807_2025-10-09,000807,2025-10-09,0,-0.0277264363074763,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000858_2025-01-02,000858,2025-01-02,0,-0.056865464367055,val,911,843.0,train,68.0,0.0,0.0,train->val
000858_2025-10-09,000858,2025-10-09,0,-0.0057774840446168,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000876_2025-01-02,000876,2025-01-02,0,-0.0387243723241302,val,911,843.0,train,68.0,0.0,0.0,train->val
000876_2025-10-09,000876,2025-10-09,0,-0.0282542916303181,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000895_2025-01-02,000895,2025-01-02,0,-0.0356312953400628,val,911,843.0,train,68.0,0.0,0.0,train->val
000895_2025-10-09,000895,2025-10-09,1,0.022653726402904,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000938_2025-01-02,000938,2025-01-02,0,-0.0768935021848024,val,911,843.0,train,68.0,0.0,0.0,train->val
000938_2025-10-09,000938,2025-10-09,0,-0.1185185184098421,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000963_2025-01-02,000963,2025-01-02,0,-0.0256101210728242,val,911,843.0,train,68.0,0.0,0.0,train->val
000963_2025-10-09,000963,2025-10-09,0,-0.0371346447507011,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000975_2025-01-02,000975,2025-01-02,1,0.0625000023302522,val,906,838.0,train,68.0,0.0,0.0,train->val
000975_2025-10-09,000975,2025-10-09,0,-0.0665849718336419,test,1089,1021.0,val,68.0,0.0,0.0,val->test
000977_2025-01-02,000977,2025-01-02,0,-0.0423084814091542,val,911,843.0,train,68.0,0.0,0.0,train->val
000977_2025-10-09,000977,2025-10-09,0,-0.1475776699358555,test,1094,1026.0,val,68.0,0.0,0.0,val->test
000983_2025-01-02,000983,2025-01-02,0,-0.0353982278473171,val,901,833.0,train,68.0,0.0,0.0,train->val
000983_2025-10-09,000983,2025-10-09,1,0.0500695280628027,test,1084,1016.0,val,68.0,0.0,0.0,val->test
000999_2025-01-02,000999,2025-01-02,0,-0.0125289953269952,val,911,843.0,train,68.0,0.0,0.0,train->val
000999_2025-10-09,000999,2025-10-09,1,0.0035338918759857,test,1094,1026.0,val,68.0,0.0,0.0,val->test
001289_2025-01-02,001289,2025-01-02,0,-0.035880455889099,val,712,644.0,train,68.0,0.0,0.0,train->val
001289_2025-10-09,001289,2025-10-09,0,-0.0181718031351191,test,895,827.0,val,68.0,0.0,0.0,val->test
001391_2025-10-09,001391,2025-10-09,0,-0.0136363739669499,test,185,117.0,val,68.0,0.0,0.0,val->test
001965_2025-01-02,001965,2025-01-02,0,-0.0157185793458166,val,911,843.0,train,68.0,0.0,0.0,train->val
001965_2025-10-09,001965,2025-10-09,1,0.0426829918948047,test,1094,1026.0,val,68.0,0.0,0.0,val->test
001979_2025-01-02,001979,2025-01-02,1,0.0100099529957937,val,901,833.0,train,68.0,0.0,0.0,train->val
001979_2025-10-09,001979,2025-10-09,0,-0.0148515527892503,test,1084,1016.0,val,68.0,0.0,0.0,val->test
002001_2025-01-02,002001,2025-01-02,1,0.0078776636585502,val,911,843.0,train,68.0,0.0,0.0,train->val
002001_2025-10-09,002001,2025-10-09,0,-0.0686360531097821,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002027_2025-01-02,002027,2025-01-02,0,-0.0625,val,911,843.0,train,68.0,0.0,0.0,train->val
002027_2025-10-09,002027,2025-10-09,0,-0.0530981771854267,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002028_2025-01-02,002028,2025-01-02,0,-0.045198516723394,val,911,843.0,train,68.0,0.0,0.0,train->val
002028_2025-10-09,002028,2025-10-09,1,0.0215975009227791,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002049_2025-01-02,002049,2025-01-02,0,-0.0470317385534189,val,911,843.0,train,68.0,0.0,0.0,train->val
002049_2025-10-09,002049,2025-10-09,0,-0.1316016382517408,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002050_2025-01-02,002050,2025-01-02,1,0.1383537636393274,val,911,843.0,train,68.0,0.0,0.0,train->val
002050_2025-10-09,002050,2025-10-09,0,-0.0666126741417592,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002074_2025-01-02,002074,2025-01-02,0,-0.0019607906025324,val,911,843.0,train,68.0,0.0,0.0,train->val
002074_2025-10-09,002074,2025-10-09,0,-0.1474644999536755,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002129_2025-01-02,002129,2025-01-02,0,-0.0472894830610013,val,911,843.0,train,68.0,0.0,0.0,train->val
002129_2025-10-09,002129,2025-10-09,0,-0.059134119624266,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002142_2025-01-02,002142,2025-01-02,1,0.0388021506250252,val,905,837.0,train,68.0,0.0,0.0,train->val
002142_2025-10-09,002142,2025-10-09,1,0.0469824721431117,test,1088,1020.0,val,68.0,0.0,0.0,val->test
002179_2025-01-02,002179,2025-01-02,0,-0.0085129037432198,val,911,843.0,train,68.0,0.0,0.0,train->val
002179_2025-10-09,002179,2025-10-09,0,-0.0756282006853213,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002180_2025-01-02,002180,2025-01-02,0,-0.0329670456576805,val,910,842.0,train,68.0,0.0,0.0,train->val
002180_2025-10-09,002180,2025-10-09,0,-0.110599072457288,test,1093,1025.0,val,68.0,0.0,0.0,val->test
002230_2025-01-02,002230,2025-01-02,0,-0.025269977439796,val,911,843.0,train,68.0,0.0,0.0,train->val
002230_2025-10-09,002230,2025-10-09,0,-0.1390006708767977,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002236_2025-01-02,002236,2025-01-02,0,-0.0551948037769708,val,911,843.0,train,68.0,0.0,0.0,train->val
002236_2025-10-09,002236,2025-10-09,0,-0.1146226412279695,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002241_2025-01-02,002241,2025-01-02,0,-0.0424849726076005,val,911,843.0,train,68.0,0.0,0.0,train->val
002241_2025-10-09,002241,2025-10-09,0,-0.2318767377677761,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002252_2025-04-10,002252,2025-04-10,0,-0.0072568911140574,val,964,836.0,train,128.0,0.0,0.0,train->val
002252_2025-10-09,002252,2025-10-09,0,-0.0162241928685119,test,1084,1016.0,val,68.0,0.0,0.0,val->test
002304_2025-01-02,002304,2025-01-02,0,-0.0327263813144021,val,911,843.0,train,68.0,0.0,0.0,train->val
002304_2025-10-09,002304,2025-10-09,1,0.0380121321199957,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002311_2025-01-02,002311,2025-01-02,0,-0.003974896692374,val,911,843.0,train,68.0,0.0,0.0,train->val
002311_2025-10-09,002311,2025-10-09,0,-0.08873016106638,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002352_2025-01-02,002352,2025-01-02,1,0.0079324435772902,val,911,843.0,train,68.0,0.0,0.0,train->val
002352_2025-10-09,002352,2025-10-09,0,-0.0029666276800761,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002371_2025-01-02,002371,2025-01-02,1,0.0160998931229954,val,911,843.0,train,68.0,0.0,0.0,train->val
002371_2025-10-09,002371,2025-10-09,0,-0.1263835826985865,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002415_2025-01-02,002415,2025-01-02,0,-0.0652027013876125,val,911,843.0,train,68.0,0.0,0.0,train->val
002415_2025-10-09,002415,2025-10-09,0,-0.0529713840282963,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002422_2025-01-02,002422,2025-01-02,0,-0.0549525118985477,val,911,843.0,train,68.0,0.0,0.0,train->val
002422_2025-10-09,002422,2025-10-09,1,0.0113699343070893,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002459_2025-01-02,002459,2025-01-02,0,-0.0714817803902689,val,911,843.0,train,68.0,0.0,0.0,train->val
002459_2025-10-09,002459,2025-10-09,0,-0.0119224526017753,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002460_2025-01-02,002460,2025-01-02,1,0.0079248579631317,val,911,843.0,train,68.0,0.0,0.0,train->val
002460_2025-10-09,002460,2025-10-09,0,-0.0937733308187709,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002463_2025-01-02,002463,2025-01-02,1,0.0512289862563772,val,911,843.0,train,68.0,0.0,0.0,train->val
002463_2025-10-09,002463,2025-10-09,0,-0.0946585559247126,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002466_2025-01-02,002466,2025-01-02,0,-0.0030873765095606,val,911,843.0,train,68.0,0.0,0.0,train->val
002466_2025-10-09,002466,2025-10-09,0,-0.1137736212905457,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002475_2025-01-02,002475,2025-01-02,0,-0.0344299919007255,val,911,843.0,train,68.0,0.0,0.0,train->val
002475_2025-10-09,002475,2025-10-09,0,-0.1248085756196595,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002493_2025-01-02,002493,2025-01-02,0,-0.0045662031727406,val,911,843.0,train,68.0,0.0,0.0,train->val
002493_2025-10-09,002493,2025-10-09,0,-0.0477157371629236,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002594_2025-01-02,002594,2025-01-02,0,-0.0188122509521576,val,911,843.0,train,68.0,0.0,0.0,train->val
002594_2025-10-09,002594,2025-10-09,0,-0.0549728764915419,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002600_2025-01-02,002600,2025-01-02,0,-0.04347830117888,val,911,843.0,train,68.0,0.0,0.0,train->val
002600_2025-10-09,002600,2025-10-09,0,-0.1629802131881878,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002601_2025-01-02,002601,2025-01-02,0,-0.0296856767796147,val,911,843.0,train,68.0,0.0,0.0,train->val
002601_2025-10-09,002601,2025-10-09,0,-0.0386934723726927,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002648_2025-01-02,002648,2025-01-02,1,0.0252281261153278,val,911,843.0,train,68.0,0.0,0.0,train->val
002648_2025-10-09,002648,2025-10-09,0,-0.0886075947614286,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002709_2025-01-02,002709,2025-01-02,0,-0.0392572987795493,val,911,843.0,train,68.0,0.0,0.0,train->val
002709_2025-10-09,002709,2025-10-09,0,-0.1023459667353541,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002714_2025-01-02,002714,2025-01-02,0,-0.0356477791770693,val,911,843.0,train,68.0,0.0,0.0,train->val
002714_2025-10-09,002714,2025-10-09,0,-0.0637661047174926,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002736_2025-01-02,002736,2025-01-02,0,-0.035950805415809,val,901,816.0,train,85.0,0.0,0.0,train->val
002736_2025-10-09,002736,2025-10-09,1,0.0193164552278641,test,1084,1016.0,val,68.0,0.0,0.0,val->test
002916_2025-01-02,002916,2025-01-02,1,0.014161041952482,val,911,843.0,train,68.0,0.0,0.0,train->val
002916_2025-10-09,002916,2025-10-09,0,-0.1818296255110497,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002920_2025-01-02,002920,2025-01-02,0,-0.0190196773725366,val,911,843.0,train,68.0,0.0,0.0,train->val
002920_2025-10-09,002920,2025-10-09,0,-0.1650778689871364,test,1094,1026.0,val,68.0,0.0,0.0,val->test
002938_2025-01-02,002938,2025-01-02,0,-0.0042134679569665,val,911,843.0,train,68.0,0.0,0.0,train->val
002938_2025-10-09,002938,2025-10-09,0,-0.1407948753341773,test,1094,1026.0,val,68.0,0.0,0.0,val->test
003816_2025-01-02,003816,2025-01-02,0,-0.0936710520752821,val,911,843.0,train,68.0,0.0,0.0,train->val
003816_2025-10-09,003816,2025-10-09,1,0.0471205298651227,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300014_2025-01-02,300014,2025-01-02,0,-0.0412026722426079,val,911,843.0,train,68.0,0.0,0.0,train->val
300014_2025-10-09,300014,2025-10-09,0,-0.1526531523887659,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300015_2025-01-02,300015,2025-01-02,0,-0.0330188694302143,val,911,843.0,train,68.0,0.0,0.0,train->val
300015_2025-10-09,300015,2025-10-09,0,-0.0336726704634892,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300033_2025-01-02,300033,2025-01-02,0,-0.0548308724770392,val,911,843.0,train,68.0,0.0,0.0,train->val
300033_2025-10-09,300033,2025-10-09,0,-0.0859870100426454,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300059_2025-01-02,300059,2025-01-02,0,-0.077949145554789,val,911,843.0,train,68.0,0.0,0.0,train->val
300059_2025-10-09,300059,2025-10-09,0,-0.0650224216556905,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300122_2025-01-02,300122,2025-01-02,0,-0.0297147324537647,val,911,843.0,train,68.0,0.0,0.0,train->val
300122_2025-10-09,300122,2025-10-09,0,-0.0443702226151535,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300124_2025-01-02,300124,2025-01-02,1,0.0364120784362859,val,911,843.0,train,68.0,0.0,0.0,train->val
300124_2025-10-09,300124,2025-10-09,0,-0.1166347996646742,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300274_2025-01-02,300274,2025-01-02,0,-0.0033375041334526,val,911,843.0,train,68.0,0.0,0.0,train->val
300274_2025-10-09,300274,2025-10-09,0,-0.0645730636727806,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300308_2025-01-02,300308,2025-01-02,0,-0.0926214067522354,val,911,843.0,train,68.0,0.0,0.0,train->val
300308_2025-10-09,300308,2025-10-09,1,0.0105062289243425,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300316_2025-01-02,300316,2025-01-02,0,-0.0597359742613042,val,911,843.0,train,68.0,0.0,0.0,train->val
300316_2025-10-09,300316,2025-10-09,0,-0.1789318736212273,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300347_2025-01-02,300347,2025-01-02,0,-0.0972550441402536,val,911,843.0,train,68.0,0.0,0.0,train->val
300347_2025-10-09,300347,2025-10-09,0,-0.0497276377244182,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300394_2025-01-02,300394,2025-01-02,0,-0.0340947075210883,val,911,843.0,train,68.0,0.0,0.0,train->val
300394_2025-10-09,300394,2025-10-09,0,-0.0367682936303124,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300408_2025-01-02,300408,2025-01-02,0,-0.0143127174768059,val,911,843.0,train,68.0,0.0,0.0,train->val
300408_2025-10-09,300408,2025-10-09,1,0.0277203186589303,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300413_2025-01-02,300413,2025-01-02,0,-0.0243997007773432,val,911,843.0,train,68.0,0.0,0.0,train->val
300413_2025-10-09,300413,2025-10-09,0,-0.1114773772119338,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300418_2025-01-02,300418,2025-01-02,0,-0.05595910653545,val,911,843.0,train,68.0,0.0,0.0,train->val
300418_2025-10-09,300418,2025-10-09,0,-0.1812725059923701,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300433_2025-01-02,300433,2025-01-02,1,0.063273064172429,val,911,843.0,train,68.0,0.0,0.0,train->val
300433_2025-10-09,300433,2025-10-09,0,-0.1871863060093453,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300442_2025-01-02,300442,2025-01-02,0,-0.005964218510469,val,911,843.0,train,68.0,0.0,0.0,train->val
300442_2025-10-09,300442,2025-10-09,0,-0.1556742858326614,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300498_2025-01-02,300498,2025-01-02,0,-0.0246913350915822,val,911,843.0,train,68.0,0.0,0.0,train->val
300498_2025-10-09,300498,2025-10-09,0,-0.0212766114633315,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300502_2025-01-02,300502,2025-01-02,0,-0.0280250286583454,val,911,843.0,train,68.0,0.0,0.0,train->val
300502_2025-10-09,300502,2025-10-09,0,-0.062394987713216,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300628_2025-01-02,300628,2025-01-02,0,-0.0213333330878294,val,911,843.0,train,68.0,0.0,0.0,train->val
300628_2025-10-09,300628,2025-10-09,0,-0.0625835776870963,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300661_2025-01-02,300661,2025-01-02,0,-0.0427427669938364,val,911,843.0,train,68.0,0.0,0.0,train->val
300661_2025-10-09,300661,2025-10-09,0,-0.138797557964749,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300750_2025-01-02,300750,2025-01-02,0,-0.0458690783313865,val,911,843.0,train,68.0,0.0,0.0,train->val
300750_2025-10-09,300750,2025-10-09,0,-0.1058576702533984,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300759_2025-01-02,300759,2025-01-02,0,-0.0301946940770619,val,911,843.0,train,68.0,0.0,0.0,train->val
300759_2025-10-09,300759,2025-10-09,0,-0.1342776357977236,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300760_2025-01-02,300760,2025-01-02,0,-0.0661690514197638,val,911,843.0,train,68.0,0.0,0.0,train->val
300760_2025-10-09,300760,2025-10-09,0,-0.0997824712752028,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300782_2025-01-02,300782,2025-01-02,0,-0.0915310218752646,val,911,843.0,train,68.0,0.0,0.0,train->val
300782_2025-10-09,300782,2025-10-09,0,-0.1172282845582632,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300832_2025-01-02,300832,2025-01-02,0,-0.0779906527449418,val,911,843.0,train,68.0,0.0,0.0,train->val
300832_2025-10-09,300832,2025-10-09,0,-0.0767484100836024,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300896_2025-01-02,300896,2025-01-02,0,-0.0396915407344928,val,911,843.0,train,68.0,0.0,0.0,train->val
300896_2025-10-09,300896,2025-10-09,0,-0.0742157177000561,test,1094,1026.0,val,68.0,0.0,0.0,val->test
300979_2025-01-02,300979,2025-01-02,0,-0.0459045904243244,val,895,827.0,train,68.0,0.0,0.0,train->val
300979_2025-10-09,300979,2025-10-09,0,-0.0414546951989058,test,1078,1010.0,val,68.0,0.0,0.0,val->test
300999_2025-01-02,300999,2025-01-02,0,-0.0381703077550207,val,911,843.0,train,68.0,0.0,0.0,train->val
300999_2025-10-09,300999,2025-10-09,0,-0.034832159666857,test,1094,1026.0,val,68.0,0.0,0.0,val->test
301236_2025-01-02,301236,2025-01-02,0,-0.0483170490331077,val,681,613.0,train,68.0,0.0,0.0,train->val
301236_2025-10-09,301236,2025-10-09,0,-0.0873925448408904,test,864,796.0,val,68.0,0.0,0.0,val->test
301269_2025-01-02,301269,2025-01-02,0,-0.0304035948657786,val,589,521.0,train,68.0,0.0,0.0,train->val
301269_2025-10-09,301269,2025-10-09,0,-0.0754817150730399,test,762,627.0,val,135.0,0.0,0.0,val->test
302132_2025-10-09,302132,2025-10-09,0,-0.0280363388172735,test,157,89.0,val,68.0,0.0,0.0,val->test
600000_2025-01-02,600000,2025-01-02,0,-0.0128331725209709,val,911,843.0,train,68.0,0.0,0.0,train->val
600000_2025-10-09,600000,2025-10-09,1,0.1008474601917185,test,1094,1026.0,val,68.0,0.0,0.0,val->test
600009_2025-01-02,600009,2025-01-02,0,-0.0273191164845692,val,900,832.0,train,68.0,0.0,0.0,train->val
600009_2025-10-09,600009,2025-10-09,0,-0.0162754895644083,test,1083,1015.0,val,68.0,0.0,0.0,val->test
600010_2025-01-02,600010,2025-01-02,0,-0.0110497942409581,val,911,843.0,train,68.0,0.0,0.0,train->val
600010_2025-10-09,600010,2025-10-09,1,0.0310077894035782,test,1094,1026.0,val,68.0,0.0,0.0,val->test
600011_2025-01-02,600011,2025-01-02,0,-0.0442072543307559,val,911,843.0,train,68.0,0.0,0.0,train->val
600011_2025-10-09,600011,2025-10-09,1,0.0288461284459545,test,1094,1026.0,val,68.0,0.0,0.0,val->test
600015_2025-01-02,600015,2025-01-02,0,-0.0412903092396681,val,911,843.0,train,68.0,0.0,0.0,train->val
600015_2025-10-09,600015,2025-10-09,1,0.0474731795723205,test,1094,1026.0,val,68.0,0.0,0.0,val->test
600016_2025-01-02,600016,2025-01-02,0,-0.0199501212456053,val,911,843.0,train,68.0,0.0,0.0,train->val
600016_2025-10-09,600016,2025-10-09,1,0.0278481101721774,test,1094,1026.0,val,68.0,0.0,0.0,val->test
600018_2025-01-02,600018,2025-01-02,0,-0.0652173913043478,val,911,843.0,train,68.0,0.0,0.0,train->val
600018_2025-10-09,600018,2025-10-09,1,0.0036164877410306,test,1094,1026.0,val,68.0,0.0,0.0,val->test
600019_2025-01-02,600019,2025-01-02,0,-0.0592485180229625,val,911,843.0,train,68.0,0.0,0.0,train->val
600019_2025-10-09,600019,2025-10-09,0,-0.0027856360407717,test,1094,1026.0,val,68.0,0.0,0.0,val->test
600023_2025-01-02,600023,2025-01-02,0,-0.0620439436758903,val,911,843.0,train,68.0,0.0,0.0,train->val
600023_2025-10-09,600023,2025-10-09,0,-5.963050554383486e-07,test,1094,1026.0,val,68.0,0.0,0.0,val->test
600025_2025-01-02,600025,2025-01-02,0,-0.0367567448356503,val,911,843.0,train,68.0,0.0,0.0,train->val
600025_2025-10-09,600025,2025-10-09,1,0.0470219730545286,test,1094,1026.0,val,68.0,0.0,0.0,val->test
600026_2025-01-02,600026,2025-01-02,1,0.1225749055727088,val,911,843.0,train,68.0,0.0,0.0,train->val
600026_2025-10-09,600026,2025-10-09,1,0.0741687279793549,test,1094,1026.0,val,68.0,0.0,0.0,val->test
